direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,stimulusDots.stopped,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
left,left,,,,,9,1,19,0,,,,,106.91806939999515,,,,,,,,,106.90241320000496,107.70219050000014,108.50275529999635,108.48642119999568,108.48643210000591,108.50275529999635,108.50275529999635,108.58618519999436,109.00366270000814,left,0.41348639999341685,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,10,0,20,0,,,,,109.01994050000212,,,,,,,,,109.00406780000776,109.10162129999662,109.90400599999703,109.88750149999396,109.88751359999878,109.90400599999703,109.90400599999703,110.00251510000089,110.58841549999488,left,0.58137309999438,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,10,1,21,1,,,,,110.60288880000007,,,,,,,,,110.58882960000483,111.40351249999367,112.204178400003,112.18806719999702,112.18809330000659,112.204178400003,112.204178400003,112.28922829999647,112.8219012000045,right,0.5267162999953143,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,11,0,22,0,,,,,112.83816240000306,,,,,,,,,112.82231370000227,113.17337520000001,113.97246859999723,113.9575954000029,113.95760759999393,113.97246859999723,113.97246859999723,114.05744410000625,114.65843300000415,left,0.5903516999969725,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,11,1,23,1,,,,,114.67463880000287,,,,,,,,,114.6588369999954,114.75798730000679,115.55862150000758,115.54227619999438,115.54229120000673,115.55862150000758,115.55862150000758,115.64213560000644,121.59744389999832,right,5.949468099992373,None,,,,,,,,,,,,117.05992149999656,120.54618649999611,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,12,0,24,1,,,,,121.61371819999476,,,,,,,,,121.59785449999617,121.6970122000057,122.49610499999835,122.4813814000081,122.48139240000455,122.49610499999835,122.49610499999835,122.5977825000009,123.16544860000431,right,0.5540113999886671,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,12,1,25,0,,,,,123.18167439999525,,,,,,,,,123.16584590000275,123.51526620000368,124.33254350000061,124.3146010000055,124.3146115999989,124.33254350000061,124.33254350000061,124.41597830000683,133.05687970000145,left,8.632580899997265,None,,,,,,,,,,,,125.83389840000018,129.32003820000682,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,13,0,26,0,,,,,133.07315019999805,,,,,,,,,133.0572913000069,133.1564967000013,133.95554350000748,133.93926509999437,133.93927679999615,133.95554350000748,133.95554350000748,134.0391146000038,134.55647120000503,left,0.5129209000006085,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,13,1,27,1,,,,,134.57451059999585,,,,,,,,,134.55684750000364,134.9081029999943,135.7070800000074,135.69074120000005,135.69075290000183,135.7070800000074,135.7070800000074,135.79048389999662,136.5771964000014,left,0.7856693000067025,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,14,0,28,1,,,,,136.59122270000807,,,,,,,,,136.57763670000713,137.39179350000632,138.19249919999857,138.17592920000607,138.1759405000048,138.19249919999857,138.19249919999857,138.27746090000437,141.09697830000368,right,2.811204199999338,None,,,,,,,,,,,,139.69533159999992,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,14,1,29,0,,,,,141.1132060999953,,,,,,,,,141.097377099999,142.29744179999398,143.09638830000767,143.08168479999586,143.0816962999961,143.09638830000767,143.09638830000767,143.18149590000394,144.91687190000084,left,1.7222981999948388,None,,,,,,,,,,,,144.5993904000061,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,15,0,30,0,,,,,144.93291590000445,,,,,,,,,144.91727879999962,145.01452209999843,145.81701579999935,145.80066900000384,145.80067989999952,145.81701579999935,145.81701579999935,145.89885719999438,151.35557960000006,right,5.445586199988611,None,,,,,,,,,,,,147.3192984000052,150.8030282999971,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
