direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,goodbye_text.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
left,left,,,,,1,0,2,0,,,,,180.98159958299948,,,,,,,,,180.97373549998156,181.0718963329855,181.87361808298738,181.8651780829823,181.86520520798513,181.87361808298738,181.87361808298738,181.96445691600093,182.61962304098415,182.69831074998365,right,0.7298329170153011,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,1,1,3,1,,,,,182.7059804580058,,,,,,,,,182.6991767080035,183.88860883298912,184.68027758298558,184.67182929100818,184.67185670798062,184.68027758298558,184.68027758298558,184.76379795800312,185.4312444999814,186.08237162500154,left,1.3149027499894146,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,2,0,4,0,,,,,186.09059750000597,,,,,,,,,186.08339341598912,186.43147995800246,187.22380320800585,187.2151030410023,187.21512412498123,187.22380320800585,187.22380320800585,187.31449625000823,187.9699507500045,188.415989540983,left,1.0916467499919236,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,2,1,5,1,,,,,188.42257583298488,,,,,,,,,188.41706320800586,189.61471404100303,190.40733508300036,190.3986227499845,190.39865191598074,190.40733508300036,190.40733508300036,190.48869066598127,191.15304199999082,193.40855470800307,left,2.909857958002249,0.0070386249863076955,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,3,0,6,1,,,,,193.43091062500025,,,,,,,,,193.4096050829976,193.75583408298553,194.5573489999806,194.54847183299717,194.54849791599554,194.5573489999806,194.5573489999806,194.63865704098134,195.30340058298316,195.7395039999974,right,1.0952780829975381,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,3,1,7,0,,,,,195.76415037500556,,,,,,,,,195.74053033298696,196.93898854099098,197.74038866598858,197.7318482499977,197.73187250000774,197.74038866598858,197.74038866598858,197.8310505829868,198.487152332993,198.8987461659999,left,1.0630587920022663,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,4,0,8,1,,,,,198.90749174999655,,,,,,,,,198.8997855829948,200.09781599999405,200.8908506250009,200.8820270409924,200.882056500006,200.8908506250009,200.8908506250009,200.97232387500117,201.6641955410014,201.83163095798227,left,0.8565322500071488,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,4,1,9,0,,,,,201.83734566599014,,,,,,,,,201.83204829099122,203.0229627499939,203.82305633299984,203.8146497909911,203.81467449999764,203.82305633299984,203.82305633299984,203.90550133300712,204.56934504100354,204.75590212500538,left,0.8443034999945667,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,5,0,10,0,,,,,204.7808708329976,,,,,,,,,204.75692849999177,205.95535466598812,206.75645791599527,206.74800925000454,206.74802941599046,206.75645791599527,206.75645791599527,206.8385209160042,207.50432745798025,207.90520437498344,right,1.0634047920175362,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,5,1,11,1,,,,,207.91482824998093,,,,,,,,,207.906253166002,208.0050845000078,208.79714970799978,208.78861033299472,208.78864070799318,208.79714970799978,208.79714970799978,208.88037441598135,209.5471439579851,210.82497704098932,right,1.9346385830140207,0.006831709004472941,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
