direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
left,left,accuracy,NA,NA,NA,0,0,0,right,0,1.4262446709981305,sub-10860809
right,right,accuracy,NA,NA,NA,0,1,1,right,1,5.019969066001067,sub-10860809
left,left,accuracy,NA,NA,NA,1,0,2,left,1,3.218360399994708,sub-10860809
right,right,accuracy,NA,NA,NA,1,1,3,right,1,1.6738302939993446,sub-10860809
right,right,accuracy,NA,NA,NA,2,0,4,left,0,4.109402769994631,sub-10860809
left,left,accuracy,NA,NA,NA,2,1,5,left,1,4.33454241000436,sub-10860809
left,left,accuracy,NA,NA,NA,3,0,6,right,0,2.016033359002904,sub-10860809
right,right,accuracy,NA,NA,NA,3,1,7,right,1,1.2848385569959646,sub-10860809
left,left,accuracy,NA,NA,NA,4,0,8,left,1,5.366886033996707,sub-10860809
right,right,accuracy,NA,NA,NA,4,1,9,right,1,0.812726867996389,sub-10860809
right,right,accuracy,NA,NA,NA,5,0,10,right,1,1.4245962999993935,sub-10860809
left,left,accuracy,NA,NA,NA,5,1,11,left,1,0.9543637399983708,sub-10860809
left,left,accuracy,NA,NA,NA,6,0,12,left,1,1.837169136000739,sub-10860809
right,right,accuracy,NA,NA,NA,6,1,13,right,1,1.2155408469989195,sub-10860809
right,right,accuracy,NA,NA,NA,7,0,14,right,1,0.9288394010000048,sub-10860809
left,left,accuracy,NA,NA,NA,7,1,15,left,1,1.615373937995173,sub-10860809
left,left,accuracy,NA,NA,NA,8,0,16,left,1,1.043801601001178,sub-10860809
right,right,accuracy,NA,NA,NA,8,1,17,right,1,1.4264360110028065,sub-10860809
left,left,accuracy,NA,NA,NA,9,0,18,left,1,1.166899279000063,sub-10860809
right,right,accuracy,NA,NA,NA,9,1,19,right,1,0.7490694879961666,sub-10860809
right,right,accuracy,NA,NA,NA,10,0,20,right,1,1.3288453700006355,sub-10860809
left,left,accuracy,NA,NA,NA,10,1,21,left,1,1.0608128320018295,sub-10860809
left,left,accuracy,NA,NA,NA,11,0,22,left,1,1.8082560030015884,sub-10860809
right,right,accuracy,NA,NA,NA,11,1,23,right,1,0.8036559039974236,sub-10860809
left,left,accuracy,NA,NA,NA,12,0,24,left,1,0.9669228689963348,sub-10860809
right,right,accuracy,NA,NA,NA,12,1,25,right,1,1.051594794000266,sub-10860809
right,right,accuracy,NA,NA,NA,13,0,26,right,1,1.6167277650019969,sub-10860809
left,left,accuracy,NA,NA,NA,13,1,27,left,1,1.4349356309976429,sub-10860809
left,left,accuracy,NA,NA,NA,14,0,28,right,0,2.1405366449980647,sub-10860809
right,right,accuracy,NA,NA,NA,14,1,29,right,1,0.9514770839959964,sub-10860809
left,left,accuracy,NA,NA,NA,15,0,30,left,1,1.0577291490044445,sub-10860809
right,right,accuracy,NA,NA,NA,15,1,31,right,1,1.5100005330023123,sub-10860809
left,left,accuracy,NA,NA,NA,16,0,32,left,1,1.950655000000552,sub-10860809
right,right,accuracy,NA,NA,NA,16,1,33,right,1,0.9175763199964422,sub-10860809
right,right,accuracy,NA,NA,NA,17,0,34,right,1,1.0678413249988807,sub-10860809
left,left,accuracy,NA,NA,NA,17,1,35,right,0,3.178762937001011,sub-10860809
