direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
right,right,accuracy,NA,NA,NA,0,0,0,right,1,2.7759428,sub-68657905
left,left,accuracy,NA,NA,NA,0,1,1,left,1,3.153056,sub-68657905
right,right,accuracy,NA,NA,NA,1,0,2,left,0,1.6150751,sub-68657905
left,left,accuracy,NA,NA,NA,1,1,3,left,1,3.6508166,sub-68657905
right,right,accuracy,NA,NA,NA,2,0,4,right,1,3.1151127,sub-68657905
left,left,accuracy,NA,NA,NA,2,1,5,right,0,0.9381701,sub-68657905
right,right,accuracy,NA,NA,NA,3,0,6,right,1,0.7945288,sub-68657905
left,left,accuracy,NA,NA,NA,3,1,7,left,1,0.3199057,sub-68657905
left,left,accuracy,NA,NA,NA,4,0,8,left,1,0.6286711,sub-68657905
right,right,accuracy,NA,NA,NA,4,1,9,right,1,0.662132,sub-68657905
